output_type,parameter_type,region,origin,destination,coefficient,std_error,z_value,wald_statistic,p_value,multiplicative_factor,flow,predicted_flow,residual,distance_value
prediction,NA,NA,Kota Bogor,Jakarta Utara,NA,NA,NA,NA,NA,NA,757550,857195.0880694573,-99645.08806945733,59.865
prediction,NA,NA,Kota Bogor,Kota Tangerang Selatan,NA,NA,NA,NA,NA,NA,708274,730257.8884982127,-21983.888498212676,37.752
prediction,NA,NA,Kota Bogor,Jakarta Timur,NA,NA,NA,NA,NA,NA,1247879,1455664.589596809,-207785.5895968089,54.401
prediction,NA,NA,Kota Bogor,Jakarta Selatan,NA,NA,NA,NA,NA,NA,1299774,1392643.5702857946,-92869.57028579456,43.47
prediction,NA,NA,Kota Bogor,Jakarta Barat,NA,NA,NA,NA,NA,NA,865190,1010718.1443472463,-145528.14434724627,53.106
prediction,NA,NA,Kota Bogor,Kota Bekasi,NA,NA,NA,NA,NA,NA,1207970,970710.8828128775,237259.11718712247,52.796
prediction,NA,NA,Kota Bogor,Kota Tangerang,NA,NA,NA,NA,NA,NA,766838,826056.7947642746,-59218.794764274615,59.078
prediction,NA,NA,Kota Bogor,Bekasi,NA,NA,NA,NA,NA,NA,1692297,1085664.5058132182,606632.4941867818,62.539
prediction,NA,NA,Kota Bogor,Jakarta Pusat,NA,NA,NA,NA,NA,NA,598055,724003.9470223354,-125948.94702233537,53.338
prediction,NA,NA,Kota Bogor,Tangerang,NA,NA,NA,NA,NA,NA,706219,717556.1328258745,-11337.13282587449,61.411
prediction,NA,NA,Kota Depok,Bogor,NA,NA,NA,NA,NA,NA,12361462,13151760.431314776,-790298.4313147757,11.429
prediction,NA,NA,Kota Depok,Jakarta Selatan,NA,NA,NA,NA,NA,NA,7818596,5074426.538135134,2744169.4618648663,20.334
prediction,NA,NA,Kota Depok,Jakarta Utara,NA,NA,NA,NA,NA,NA,3095743,3245904.250186703,-150161.25018670317,35.271
prediction,NA,NA,Kota Depok,Kota Tangerang,NA,NA,NA,NA,NA,NA,1659777,2770879.0289397268,-1111102.0289397268,39.078
prediction,NA,NA,Kota Depok,Kota Bogor,NA,NA,NA,NA,NA,NA,2741390,2893269.3100488707,-151879.31004887074,25.467
prediction,NA,NA,Kota Depok,Jakarta Pusat,NA,NA,NA,NA,NA,NA,2685639,2723815.857796421,-38176.85779642081,28.99
prediction,NA,NA,Kota Depok,Jakarta Barat,NA,NA,NA,NA,NA,NA,2951576,3597211.504822202,-645635.504822202,30.861
prediction,NA,NA,Kota Depok,Jakarta Timur,NA,NA,NA,NA,NA,NA,7578598,4959154.062546968,2619443.9374530315,33.813
prediction,NA,NA,Kota Depok,Kota Bekasi,NA,NA,NA,NA,NA,NA,2620453,3188754.1820712723,-568301.1820712723,33.588
prediction,NA,NA,Kota Depok,Kota Tangerang Selatan,NA,NA,NA,NA,NA,NA,1212649,2226254.968764954,-1013605.9687649538,21.374
prediction,NA,NA,Kota Depok,Tangerang,NA,NA,NA,NA,NA,NA,1209130,1816039.983224368,-606909.983224368,52.086
prediction,NA,NA,Kota Depok,Bekasi,NA,NA,NA,NA,NA,NA,2817613,3105155.8875139765,-287542.88751397654,48.579
prediction,NA,NA,Kota Tangerang,Jakarta Pusat,NA,NA,NA,NA,NA,NA,2395723,2946583.9249060676,-550860.9249060676,23.172
prediction,NA,NA,Kota Tangerang,Kota Tangerang Selatan,NA,NA,NA,NA,NA,NA,4360844,1974488.9010331372,2386355.098966863,23.083
prediction,NA,NA,Kota Tangerang,Tangerang,NA,NA,NA,NA,NA,NA,4348188,3369989.287599821,978198.7124001789,25.818
prediction,NA,NA,Kota Tangerang,Jakarta Barat,NA,NA,NA,NA,NA,NA,6076043,4957278.831908223,1118764.1680917768,15.869
prediction,NA,NA,Kota Tangerang,Jakarta Selatan,NA,NA,NA,NA,NA,NA,3228971,4071801.41632662,-842830.4163266202,25.837
prediction,NA,NA,Kota Tangerang,Jakarta Utara,NA,NA,NA,NA,NA,NA,2714352,3180959.592231179,-466607.5922311791,33.198
prediction,NA,NA,Kota Tangerang,Kota Depok,NA,NA,NA,NA,NA,NA,1463642,2323710.97533753,-860068.97533753,39.684
prediction,NA,NA,Kota Tangerang,Jakarta Timur,NA,NA,NA,NA,NA,NA,3051607,3677887.016696326,-626280.016696326,42.301
prediction,NA,NA,Kota Tangerang,Bogor,NA,NA,NA,NA,NA,NA,3675679,4507658.423940937,-831979.423940937,49.168
prediction,NA,NA,Kota Tangerang,Kota Bekasi,NA,NA,NA,NA,NA,NA,1976208,2079424.3360150098,-103216.33601500979,46.951
prediction,NA,NA,Kota Tangerang,Bekasi,NA,NA,NA,NA,NA,NA,1527268,1415173.6084422786,112094.39155772142,75.519
prediction,NA,NA,Kota Tangerang,Kota Bogor,NA,NA,NA,NA,NA,NA,831787,1145355.6879839124,-313568.6879839124,57.745
prediction,NA,NA,Kota Tangerang Selatan,Kota Tangerang,NA,NA,NA,NA,NA,NA,5138565,2394525.8072974677,2744039.1927025323,23.79
prediction,NA,NA,Kota Tangerang Selatan,Jakarta Selatan,NA,NA,NA,NA,NA,NA,2392981,3068782.93273107,-675801.9327310701,18.573
prediction,NA,NA,Kota Tangerang Selatan,Jakarta Barat,NA,NA,NA,NA,NA,NA,3125088,2683773.230592547,441314.769407453,21.142
prediction,NA,NA,Kota Tangerang Selatan,Jakarta Pusat,NA,NA,NA,NA,NA,NA,1555429,1682339.6532028816,-126910.65320288157,26.43
prediction,NA,NA,Kota Tangerang Selatan,Kota Depok,NA,NA,NA,NA,NA,NA,1260061,2407596.6180040915,-1147535.6180040915,20.359
prediction,NA,NA,Kota Tangerang Selatan,Kota Bogor,NA,NA,NA,NA,NA,NA,905278,1214422.2290621852,-309144.22906218516,37.545
prediction,NA,NA,Kota Tangerang Selatan,Tangerang,NA,NA,NA,NA,NA,NA,1303617,1689948.0488517738,-386331.04885177384,33.993
prediction,NA,NA,Kota Tangerang Selatan,Jakarta Utara,NA,NA,NA,NA,NA,NA,1985523,1788759.3485152428,196763.6514847572,37.032
